transaction_amount_usd,usd_eth,historic_usd_val,eth_fee_used,ether_sent_out
1132668.6625039643,467.19,953633.1999999998,0.008504999999999999,2282.13903764
9356592.337497002,467.55,330588386.4,0.0033264,20000.96094
283.8612165,469.93,444220.29,0.0,0.60405
1457535.3964795,485.81,344949150.11,0.0020832,0.21695000000000003
257891.171651,486.19,710448.9400000001,0.0020832,0.4329
2728244.8453170005,471.48,3439922.6000000006,0.0020832,1.454775
1389231.56308125,432.69,311341530.97999996,0.0022890000000000002,0.785625
19582200.584212497,445.59,23294950.439999998,0.004452,0.48375
289.57152,430.91,389393.12,0.0,0.672
13017448.1878,432.46,343192822.39000005,0.004452,0.93
224.89419000000004,433.74,388253.98000000004,0.0,0.5185000000000001
111.10110200000001,449.62,398651.79999999993,0.0,0.24710000000000001
1781.06442125,478.75,417662.17000000004,0.0,3.720239
1333.20161003,499.06,429592.20999999996,0.001869,2.6704255
269.37210680000004,479.02,408568.81,0.0,0.5623400000000001
3438.005386725,468.65,391969.31999999995,0.0,7.3359765
3661.8974960399996,448.84,393849.2100000001,0.0,8.158581
25223.73721872,461.04,395084.75999999995,0.001869,4.710518
1184.719241475,457.65,416707.88,0.0,2.5887015
1687.86830515,449.63,378569.60000000003,0.0,3.753905
1870.6486089750001,479.47,398956.94,0.0,3.9014925
1292.6126456,471.28,385885.37999999995,0.0,2.74277
705.5024838749999,462.03,375440.51,0.0,1.5269625
855.8679437750001,469.69,378493.00000000006,0.0,1.8221975000000001
85.823132125,468.55,373567.44999999995,0.0,0.18316749999999998
8608593.538251,466.2,41007468.0,0.004452,168.151605
72.47479096,456.56,359438.07,0.0,0.15874100000000002
44.412243915,431.99,282454.74,0.0,0.1028085
35.93079512,419.87,272923.8,0.0,0.085576
1646.95214803,410.83,315712.02999999997,0.0,4.008841
813.5580048400001,417.62,318139.91000000003,0.0,1.948082
740.9057971000001,406.91,307689.53,0.0,1.82081
140.933363805,408.81,308029.50999999995,0.0,0.3447405
387.764934375,404.95,303580.07,0.0,0.9575625
527.55435192,377.94,280473.94,0.0,1.395868
426.58657381999996,355.57,280588.64999999997,0.0,1.1997259999999998
1616.5031607900003,363.51,261484.18,0.002793,2.9937560000000003
777.83735754,331.57,234892.65,0.0032169375,2.235922
135.52186956,318.01,222018.97999999998,0.00021,0.41615599999999997
121.8457804,318.2,220550.59,0.00017010000000000001,0.381822
533.63613206,284.03,194986.86,0.0,1.878802
436.57821756,278.31,188809.76999999996,0.0,1.568676
2813037.99687736,281.24,27516743.400000002,0.001071,2.2685139999999997
582.0910008,286.8,191141.80999999997,0.0,2.029606
614.69357312,317.57,207277.3,0.0,1.935616
117.51069840000001,294.85,189523.01999999996,0.0,0.398544
64.02939324,299.62,208716.77999999997,0.0,0.213702
321.84360288,270.81,170142.95,0.0,1.188448
522.1652394,281.13,173875.55,0.0,1.85738
