transaction_amount_usd,usd_eth,transaction_count,transaction_count_sent,transaction_count_recv,eth_fee_spent,eth_fee_used,token_transfers,outbound_transfers,unique_address_sent,unique_outgoing_address,ether_sent_out,ether_recv_in
196333840.68198904,4082.08,112632,107018,5614,233.9500067753336,8.453963504573455,28591,20941,18693,79862,25178.284925825432,22918.23466271498
516890869.0047968,4220.26,116267,110749,5518,325.17018671075834,11.13946534983744,32415,23012,20577,82141,59393.23240573369,63085.20944495721
727556578.9231508,4129.95,139019,133644,5375,503.8350275202548,13.826739703722707,39599,29449,25666,97210,89007.71442092417,87158.23890130756
1004265555.0653468,3924.31,144406,138954,5452,685.8451471383221,18.823850506990915,42043,31327,27179,100773,125513.7576909205,130395.06578769021
821921203.5668865,4288.22,194904,187857,7047,1032.2382578312254,28.15524840580089,51226,39077,33926,141053,97377.38598937995,94292.16537852713
1283775771.212072,4417.4,184167,173200,10967,907.2497812269395,39.39394690024746,51047,40773,36304,124503,145705.84002880886,144912.11877321766
318976188.390564,4323.94,172085,160514,11571,771.8739063852489,38.137996717004604,46864,37645,33610,115404,40225.48855449646,33544.3113017837
506035528.32072216,4290.1,135802,124242,11560,558.7909150683189,35.15885402046081,39412,30715,27120,87918,56621.892255493825,61332.35783674694
535701344.38022333,4322.79,138279,126717,11562,609.8686859026943,37.65657672938605,41186,30435,26832,90625,64118.14290930337,59806.763084331134
1372211447.0275495,4593.15,154507,142931,11576,771.6968316388791,41.45570441423449,50567,37769,31672,99620,147541.10980958806,151210.60677435747
1070016751.0721332,4604.4,151465,139893,11572,696.3351342120761,38.18988369292124,50469,36831,31034,97705,118847.60059281444,113542.45046098914
686137863.4532228,4536.99,139443,128969,10474,579.9856190276931,30.974219066457263,46379,34153,29302,89957,75672.07662721396,75559.87747742873
651420734.8010805,4480.09,139521,129058,10463,529.2200686302057,29.01070249141989,44425,33703,29054,90112,75264.29189950932,70139.20106627495
792612564.6500043,4521.41,131281,119702,11579,394.0925275831185,27.372721317850942,37153,27958,24634,87118,84663.23787955327,90638.83927115952
239574896.25188258,4617.13,127752,116198,11554,351.7807473103843,23.279411026354328,37969,28681,25144,82525,30103.801488404588,21784.47028472776
835388733.4933293,4810.97,126913,115369,11544,451.99293209208395,29.855556095845806,41270,30091,26098,80385,84707.77706079611,88934.69701269202
692279479.0733857,4732.07,125573,114026,11547,605.7098902710125,40.76815802848513,41047,30380,26330,79063,74833.75427883955,71461.52010919483
